district,state,district_num,dem_candidate,rep_candidate,total_spending,spending_for,spending_against,dem_support,dem_oppose,rep_support,rep_oppose,net_dem_advantage,num_transactions,top_spenders
CO-08,CO,08,"CARAVEO, YADIRA","EVANS, TIMOTHY GABRIEL JOSEPH",24636157.339999992,7479441.359999999,17156715.979999993,6059989.920000001,4581441.9399999995,1419451.4400000002,12575274.039999995,12634370.579999998,355,"HMP: $7,140,488 | DCCC: $3,220,765 | NRCC: $2,983,044"
NY-19,NY,19,"RILEY, JOSH","MOLINARO, MARCUS J.",23223441.870000005,7588669.710000001,15634772.160000004,5915521.899999999,3241112.9299999992,1673147.8099999998,12393659.23,13394920.39,284,"HMP: $7,967,267 | DCCC: $3,847,018 | Project 218: $2,889,510"
ME-02,ME,02,"GOLDEN, JARED","THERIAULT, AUSTIN LEO",23151804.419999994,2295183.9099999997,20856620.509999994,1605474.24,6475437.399999999,689709.6699999999,14381183.110000001,8821510.280000001,397,"HMP: $10,943,689 | DCCC: $3,287,894 | RESTORATION PAC: $3,126,919"
WA-03,WA,03,"GLUESENKAMP PEREZ, MARIE","LEWALLEN, LESLIE",22893138.839999996,3421086.630000001,19472052.209999997,2131912.0600000005,5856991.5600000005,1289174.57,13615060.650000002,8600806.580000002,167,"HMP: $6,575,509 | NRCC: $5,856,992 | DCCC: $5,654,739"
OR-05,OR,05,"BYNUM, JANELLE","CHAVEZ-DEREMER, LORI",22353446.150000002,7712118.829999997,14641327.320000006,4553241.3599999985,2928805.59,2787537.1599999997,11712521.730000002,10549420.34,214,"DCCC: $6,765,882 | HMP: $4,864,409 | 314 Action Fund: $2,457,753"
AZ-01,AZ,01,"SHAH, AMISH DR.","SCHWEIKERT, DAVID S.",22217273.080000013,6043642.870000014,16173630.21,5180473.010000015,2509302.7099999995,863169.86,13664327.5,15472327.940000013,1024,"HMP: $8,896,565 | DCCC: $5,324,662 | NRCC: $1,024,084"
CA-13,CA,13,"GRAY, ADAM C.","DUARTE, JOHN",22101457.959999997,2656912.6200000006,19444545.339999996,1784967.3500000003,3852501.3500000006,871945.27,15592043.989999998,12652564.719999999,269,"HMP: $9,245,447 | DCCC: $7,024,282 | NRCC: $3,806,420"
NC-01,NC,01,"DAVIS, DON","BUCKHOUT, LAURIE",22007182.63,5620312.919999999,16386869.709999999,5174244.719999999,1478976.6600000001,446068.2,14907893.049999999,18157092.909999996,195,"HMP: $9,227,587 | DCCC: $4,873,363 | Fairshake: $2,200,851"
CA-45,CA,45,"TRAN, DEREK","STEEL, MICHELLE",21986450.419999987,9115295.83999999,12871154.579999994,5059651.50999999,445372.23000000056,4055644.33,12425782.35,12984417.299999991,541,"HMP: $9,892,369 | DCCC: $3,095,082 | Fairshake: $2,791,716"
MI-07,MI,07,"HERTEL, CURTIS JR.","BARRETT, THOMAS MORE",21654750.430000007,2367369.9100000006,19287380.520000007,1274853.4499999995,2579786.62,1092516.46,16707593.900000006,14310144.270000005,233,"HMP: $10,191,741 | DCCC: $4,439,036 | NRCC: $2,380,912"
AK-00,AK,00,"PELTOLA, MARY","BEGICH, NICHOLAS III",21344461.359999992,5276084.18,16068377.179999994,3495496.2800000003,5014418.449999999,1780587.9000000008,11053958.729999999,7754448.659999998,243,"Vote Alaska Before Party: $9,199,936 | CLUB FOR GROWTH ACTION: $2,296,319 | NRCC: $2,039,789"
NY-16,NY,16,"LATIMER, GEORGE",N/A,20847190.60000001,7608453.290000002,13238737.310000006,7608453.290000002,13238737.310000006,0,0,-5630284.020000004,142,"UNITED DEMOCRACY PROJECT (UDP): $14,632,379 | Fairshake: $2,078,023 | Justice Democrats PAC: $1,337,586"
CA-27,CA,27,"WHITESIDES, GEORGE","GARCIA, MICHAEL",20693222.869999997,6852468.099999999,13840754.77,4510700.939999998,2434845.27,2341767.16,11405909.5,11139998.009999998,193,"HMP: $11,793,269 | NRCC: $2,285,225 | LCV Victory Fund: $1,638,627"
PA-07,PA,07,"ALTMAN, SUSAN COPIUS","MACKENZIE, RYAN EDWARD",20207872.819999993,5628596.280000001,14579276.539999994,5054717.200000001,1497106.77,573879.0800000001,13082169.769999996,16065901.12,304,"HMP: $9,707,678 | Project 218: $2,137,100 | DCCC: $1,684,970"
NY-03,NY,03,"SUOZZI, THOMAS","PILIP, MAZI MELESA",19516797.10000001,5786997.140000002,13729799.960000006,5170227.5,2957709.58,616769.6400000001,10772090.380000003,12367838.660000002,287,"HMP: $7,279,690 | DCCC: $4,403,218 | Secure NYS PAC: $1,484,640"
AZ-06,AZ,06,"ENGEL, KIRSTEN","CISCOMANI, JUAN",17612343.740000002,6059300.710000004,11553043.03,3394360.790000003,873793.78,2664939.9200000004,10679249.249999998,10534876.34,1003,"HMP: $5,051,605 | DCCC: $3,492,386 | LCV Victory Fund: $2,007,687"
CA-22,CA,22,"SALAS, RUDY","VALADAO, DAVID",17334367.84,6724272.259999999,10610095.58,3623067.5200000005,1866704.4400000002,3101204.74,8743391.14,7398549.4799999995,294,"HMP: $7,361,232 | DCCC: $3,816,798 | Fairshake: $1,306,863"
NE-02,NE,02,"VARGAS, ANTHONY 'TONY'","BACON, DONALD J",17174822.729999997,4989531.09,12185291.639999997,1446475.33,3532130.5999999996,3543055.76,8653161.04,3024450.01,938,"BIG RED LEADERSHIP PAC: $3,678,246 | HMP: $3,660,362 | DCCC: $3,350,937"
PA-08,PA,08,"CARTWRIGHT, MATTHEW A.","BRESNAHAN, ROB",16609079.77,1614497.1300000001,14994582.639999999,860574.2300000001,1592840.3499999999,753922.9,13401742.29,11915553.27,233,"HMP: $8,938,523 | DCCC: $4,177,347 | NRCC: $1,482,866"
MO-01,MO,01,"BUSH, CORI",N/A,15618831.059999999,7620462.8599999985,7998368.199999999,7620462.8599999985,7998368.199999999,0,0,-377905.3400000008,200,"UNITED DEMOCRACY PROJECT (UDP): $8,598,539 | Justice Democrats PAC: $2,008,043 | Mainstream Democrats PAC: $1,500,335"
NM-02,NM,02,"VASQUEZ, GABRIEL","HERRELL, STELLA YVETTE",14894616.32,1332949.1499999997,13561667.17,601722.8699999999,3133159.6899999995,731226.2800000003,10428507.480000002,7165844.380000002,391,"DCCC: $5,068,901 | HMP: $3,226,153 | NRCC: $2,509,146"
CA-47,CA,47,"MIN, DAVE","BAUGH, SCOTT",14573094.419999996,5814210.499999996,8758883.92,5290442.569999995,8095051.0,523767.92999999993,663832.92,-2664543.440000005,274,"UNITED DEMOCRACY PROJECT (UDP): $4,719,828 | CLUB FOR GROWTH ACTION: $2,105,431 | LCV Victory Fund: $1,409,942"
