incident_id,date,time,datetime,latitude,longitude,force_type,incident_type,subject_age,subject_race,subject_gender,officer_age,officer_gender,officer_years_experience,weapon_present,injury_level,body_camera_on
UOF-04488,2021-01-01,16:01:00,2021-01-01 16:01:00,30.327938,-97.712337,Hands-On,Mental Health Crisis,46,Black,Female,47,Male,15,Yes,None,Yes
UOF-00385,2021-01-01,17:48:00,2021-01-01 17:48:00,30.29034,-97.675343,Hands-On,Traffic Stop,30,Black,Female,43,Male,7,No,Severe,Yes
UOF-00407,2021-01-01,19:18:00,2021-01-01 19:18:00,30.282196,-97.865079,Hands-On,Mental Health Crisis,44,White,Female,25,Male,14,No,None,Yes
UOF-02071,2021-01-02,05:57:00,2021-01-02 05:57:00,30.353519,-97.755918,Hands-On,Disturbance Call,24,White,Male,38,Female,2,No,Moderate,Yes
UOF-01015,2021-01-02,10:26:00,2021-01-02 10:26:00,30.291551,-97.813142,Hands-On,Disturbance Call,30,Black,Male,25,Male,6,No,None,Yes
UOF-02162,2021-01-02,12:43:00,2021-01-02 12:43:00,30.266462,-97.743318,Hands-On,Mental Health Crisis,36,Black,Male,33,Male,8,No,Minor,Yes
UOF-01785,2021-01-02,17:34:00,2021-01-02 17:34:00,30.181776,-97.76454,Hands-On,Domestic Violence,36,White,Female,54,Male,6,No,Fatal,Yes
UOF-04563,2021-01-02,19:36:00,2021-01-02 19:36:00,30.253582,-97.833218,Hands-On,Traffic Stop,54,White,Male,25,Male,0,No,Moderate,Yes
UOF-02924,2021-01-02,21:21:00,2021-01-02 21:21:00,30.183486,-97.723329,Chemical Spray,Domestic Violence,26,White,Female,41,Male,12,Yes,None,Yes
UOF-04523,2021-01-03,05:36:00,2021-01-03 05:36:00,30.236146,-97.742822,Hands-On,Disturbance Call,49,White,Male,33,Male,3,No,None,Yes
UOF-03466,2021-01-03,19:38:00,2021-01-03 19:38:00,30.191808,-97.757703,Firearm,Pursuit,46,Black,Male,45,Male,9,Yes,Moderate,Yes
UOF-04243,2021-01-03,19:48:00,2021-01-03 19:48:00,30.140047,-97.747047,Taser,Traffic Stop,26,White,Female,43,Male,6,Yes,None,Yes
UOF-00354,2021-01-03,21:49:00,2021-01-03 21:49:00,30.210363,-97.706742,Taser,Traffic Stop,43,Black,Male,38,Male,5,Yes,Minor,Yes
UOF-03914,2021-01-04,16:01:00,2021-01-04 16:01:00,30.153998,-97.783616,Taser,Suspicious Activity,34,Hispanic,Female,57,Male,3,No,Minor,Yes
UOF-00034,2021-01-04,17:51:00,2021-01-04 17:51:00,30.272485,-97.846285,Taser,Domestic Violence,37,Asian,Male,37,Female,5,Yes,None,Yes
UOF-01980,2021-01-05,07:27:00,2021-01-05 07:27:00,30.278231,-97.730202,Taser,Mental Health Crisis,40,White,Female,48,Male,8,Yes,None,Yes
UOF-01352,2021-01-05,14:09:00,2021-01-05 14:09:00,30.262163,-97.777113,Taser,Disturbance Call,32,White,Male,48,Male,5,No,None,No
UOF-03180,2021-01-05,20:06:00,2021-01-05 20:06:00,30.241174,-97.737081,Hands-On,Traffic Stop,40,White,Female,33,Male,14,Yes,None,Yes
UOF-01719,2021-01-06,01:54:00,2021-01-06 01:54:00,30.239493,-97.731239,Hands-On,Pursuit,35,Hispanic,Male,44,Male,3,Yes,Moderate,Yes
UOF-03536,2021-01-06,13:13:00,2021-01-06 13:13:00,30.192647,-97.774647,Chemical Spray,Pursuit,47,Black,Male,42,Male,8,Yes,None,Yes
UOF-04467,2021-01-06,19:43:00,2021-01-06 19:43:00,30.307857,-97.740149,Taser,Domestic Violence,40,Black,Male,38,Female,5,No,None,Yes
UOF-02277,2021-01-06,20:17:00,2021-01-06 20:17:00,30.267849,-97.783931,Firearm,Disturbance Call,27,White,Male,31,Female,5,Yes,Severe,Yes
UOF-01443,2021-01-06,21:29:00,2021-01-06 21:29:00,30.253689,-97.810895,Hands-On,Disturbance Call,53,White,Female,28,Male,6,No,None,Yes
UOF-04323,2021-01-07,05:08:00,2021-01-07 05:08:00,30.219574,-97.765045,Hands-On,Suspicious Activity,52,Black,Male,51,Male,6,No,Severe,Yes
UOF-00926,2021-01-07,16:31:00,2021-01-07 16:31:00,30.222728,-97.834378,Taser,Traffic Stop,25,Hispanic,Male,38,Male,8,No,Minor,Yes
UOF-02911,2021-01-07,21:18:00,2021-01-07 21:18:00,30.290285,-97.745565,Taser,Suspicious Activity,25,White,Female,34,Female,6,No,Minor,Yes
UOF-01736,2021-01-08,17:54:00,2021-01-08 17:54:00,30.113335,-97.737557,Chemical Spray,Disturbance Call,37,Black,Male,33,Male,17,No,Minor,No
UOF-00813,2021-01-08,23:53:00,2021-01-08 23:53:00,30.326545,-97.653933,Taser,Pursuit,28,Black,Male,31,Male,8,Yes,None,Yes
UOF-02062,2021-01-09,08:50:00,2021-01-09 08:50:00,30.268656,-97.668484,Hands-On,Pursuit,30,Black,Female,34,Male,1,Yes,Moderate,Yes
UOF-01869,2021-01-11,19:30:00,2021-01-11 19:30:00,30.16344,-97.778901,Hands-On,Pursuit,43,Hispanic,Male,37,Female,2,Yes,Minor,No
UOF-01838,2021-01-12,15:24:00,2021-01-12 15:24:00,30.327978,-97.809872,Taser,Disturbance Call,41,Hispanic,Male,47,Male,11,Yes,Minor,Yes
UOF-03451,2021-01-12,16:24:00,2021-01-12 16:24:00,30.29165,-97.849408,Hands-On,Traffic Stop,31,Hispanic,Female,45,Male,3,No,Minor,Yes
UOF-01021,2021-01-12,20:25:00,2021-01-12 20:25:00,30.283641,-97.747407,Baton,Mental Health Crisis,53,Black,Female,47,Male,8,Yes,Severe,Yes
UOF-04913,2021-01-12,21:54:00,2021-01-12 21:54:00,30.283223,-97.722889,Chemical Spray,Suspicious Activity,39,Hispanic,Male,34,Male,8,No,Moderate,Yes
UOF-01846,2021-01-13,05:00:00,2021-01-13 05:00:00,30.320165,-97.750293,Chemical Spray,Traffic Stop,40,Asian,Female,36,Male,13,No,None,Yes
UOF-00446,2021-01-13,06:21:00,2021-01-13 06:21:00,30.322117,-97.799644,Hands-On,Suspicious Activity,42,Black,Male,51,Male,1,Yes,Moderate,Yes
UOF-01706,2021-01-13,16:19:00,2021-01-13 16:19:00,30.292859,-97.688943,Hands-On,Traffic Stop,41,Other,Male,48,Female,4,Yes,None,Yes
UOF-01456,2021-01-13,19:34:00,2021-01-13 19:34:00,30.296928,-97.769999,Hands-On,Suspicious Activity,29,Black,Male,34,Male,2,No,None,Yes
UOF-02933,2021-01-14,11:17:00,2021-01-14 11:17:00,30.303304,-97.807076,Hands-On,Disturbance Call,30,Hispanic,Male,36,Male,5,Yes,Severe,Yes
UOF-02398,2021-01-14,14:01:00,2021-01-14 14:01:00,30.37932,-97.735316,Taser,Traffic Stop,40,Hispanic,Female,45,Male,5,No,Minor,Yes
UOF-00348,2021-01-14,17:08:00,2021-01-14 17:08:00,30.217066,-97.736198,Hands-On,Domestic Violence,46,White,Male,34,Male,11,Yes,None,Yes
